id,user_id,description,start_date,end_date,created_by,updated_by,vendor_table_ref_id,buyer_site_table_ref_id,dealer_site_table_ref_id
1,531,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",31/03/2022,11/11/2021,211,686,1,1,1
2,488,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",20/02/2022,20/05/2022,469,276,2,2,2
3,4,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",22/08/2021,23/12/2021,838,979,3,3,3
4,619,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",08/09/2021,11/02/2022,195,507,4,4,4
5,443,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",03/09/2021,15/01/2022,717,30,5,5,5
6,706,Nullam molestie nibh in lectus.,18/01/2022,13/04/2022,171,437,6,6,6
7,175,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",10/10/2021,24/08/2021,342,837,7,7,7
8,929,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",08/08/2021,12/04/2022,111,653,8,8,8
9,604,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",15/07/2021,31/01/2022,52,534,9,9,9
10,372,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",12/01/2022,23/12/2021,81,347,10,10,10
11,486,Aliquam erat volutpat. In congue. Etiam justo.,18/03/2022,15/08/2021,800,82,11,11,11
12,955,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,25/08/2021,13/06/2021,364,714,12,12,12
13,207,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",22/08/2021,13/05/2022,530,925,13,13,13
14,477,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,12/11/2021,04/07/2021,463,875,14,14,14
15,922,Praesent blandit lacinia erat.,21/06/2021,07/09/2021,479,734,15,15,15
16,632,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",15/10/2021,17/08/2021,233,511,16,16,16
17,393,In quis justo. Maecenas rhoncus aliquam lacus.,20/04/2022,14/04/2022,289,595,17,17,17
18,144,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",17/11/2021,20/06/2021,494,318,18,18,18
19,530,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",26/03/2022,24/02/2022,432,480,19,19,19
20,710,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",11/05/2022,16/07/2021,616,255,20,20,20
21,239,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",15/09/2021,15/01/2022,174,246,21,21,21
22,459,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,11/04/2022,19/01/2022,960,154,22,22,22
