id,start_date,end_date,created_by,updated_by,buyer_site_id,vds_rltn_id,description
1,04/04/2022,02/01/2022,643,24,618,968,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
2,31/12/2021,19/08/2021,593,32,46,854,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.
3,23/10/2021,06/02/2022,145,108,403,233,Nunc purus.
4,30/03/2022,25/05/2022,380,65,544,671,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
5,09/01/2022,09/04/2022,109,552,984,786,Etiam justo. Etiam pretium iaculis justo.
6,29/06/2021,08/02/2022,639,930,655,535,Ut tellus.
7,02/11/2021,14/02/2022,182,803,8,520,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus."
8,25/08/2021,27/11/2021,373,512,28,15,Phasellus in felis.
9,03/11/2021,13/05/2022,963,199,531,277,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
10,22/09/2021,10/02/2022,71,975,152,895,Nulla tellus.
11,24/03/2022,05/03/2022,674,14,488,739,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
12,14/03/2022,29/01/2022,723,286,492,130,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
13,08/08/2021,08/11/2021,458,163,590,55,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
14,03/01/2022,28/05/2022,524,867,733,102,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
15,02/10/2021,24/01/2022,771,918,725,754,Aliquam sit amet diam in magna bibendum imperdiet.
16,12/05/2022,03/03/2022,329,298,665,229,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
17,02/10/2021,02/02/2022,822,51,48,291,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
18,22/12/2021,09/05/2022,323,87,809,587,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
19,12/02/2022,03/12/2021,37,396,641,443,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
